CVE ESTADO,CVE MUNICIPIO,emisiones NOx,,,,,,,,,,,,,,,,,,
,,Asados_al_carbon,Combustion_Agricola,Combustion_Comercial,Combustion_Domestica,Combustion_industrial,Incendios_en_construcciones,Incendios_Forestales,Ladrilleras,Quema_de_Residuos,Quemas_Agricolas,Rellenos_Sanitarios, cruces fronterizos ,Embarcaciones_marinas,Equipo_basico_eropouertos,Locomotoras_patio,Locomotoras_arrastre,Maquinara_agricola,Terminales_autobuses,
06,008,06008,0.01547919,0,0.260991587,5.324949465,0.056849729,0.000609947,3.999279363,0,0.003416905,16.03712972,0,0,0,0,0,0,13.6401442,0
06,009,06009,0.3489044,0,6.682884516,48.34516891,4.861605371,0.007641846,2.176987441,0.855803718,0.204545033,13.13093536,0,0,0,0,0,82.01470324,54.45460239,0
06,010,06010,0.41837177,0.037961285,7.258852708,34.0140149,1.516303584,0.010730847,1.87840715,0.570535812,0.005608495,17.40833882,0,0,0,0,0,0,89.61330383,0
07,001,07001,0.02524488,0,0.515961864,14.83285307,0.39599974,0.000184175,0.482012706,0,0.207434633,3.832458033,0,0,0,0,0,0,2.15630618,0
07,002,07002,0.06283385,0,0.95474624,19.14293124,0.254759489,0.000315124,0,0,0.089959852,13.89042209,0,0,0,0,0,0,2.175047395,0
07,003,07003,0.02800494,0,0.664246703,25.16053118,1.442398381,0.000303632,0.517583287,0,0.406128239,12.66884665,0,0,0,0,0,51.34070848,7.774757698,0
07,004,07004,0.03138323,0,0.778712192,31.02654466,0.258209614,0.00021555,0.091811944,0.703660835,0.516241006,6.168681271,0,0,0,0,0,0,2.366385276,0
07,005,07005,0.01172879,0,0.129207257,23.04655774,0.041884894,0.000158721,0,0,0.058345641,4.143754655,0,0,0,0,0,0,2.075906675,0
07,006,07006,0.01249645,0,0.208986234,32.34163994,0.054973923,0.000211292,0.275435832,0,0.101679475,5.552199492,0,0,0,0,0,0,2.508632324,0
07,007,07007,0.01638456,0,0.056365582,11.31114724,1.867699451,6.5424E-05,0,0.703660835,0.087144619,2.636156013,0,0,0,0,0,0,0.758998743,0
07,008,07008,0.04640534,0,0.795188285,24.35383431,1.550140051,0.000133383,1.973670816,1.055491252,0.1377991,7.533635592,0,0,0,0,0,0,2.662336884,0
07,009,07009,0.08846842,0,1.932038712,18.37735537,4.119997403,0.00050066,13.08876086,0,0,7.077797072,0,0,0,0,0,67.56437236,0.910923296,0
07,010,07010,0.00098448,0,0.048561117,7.764028944,0.005235612,2.64619E-05,0,0,0,1.769526989,0,0,0,0,0,0,0.660545985,0
07,011,07011,0.00546152,0,0.107528187,21.49209451,0.026178059,0.000115223,0,0,0.124596206,7.286834657,0,0,0,0,0,0,2.528989867,0
