CVE ESTADO,CVE MUNICIPIO,Emisiones de PM10,,,,,,,,,,,,,,,,,,,,,,,,
,, Actividades_de_la_construccion , Asados_al_carbon , Banco_de_Materiales , Caminos_pavimentados_y_sin_pavimentar , Combustion_Agricola , Combustion_Comercial , Combustion_Domestica , Combustion_industrial , Corrales_de_engorda , Emisiones_domesticas_de_amoniaco , Incendios_en_construcciones , Incendios_Forestales , Labranza , Ladrilleras , Quema_de_Residuos , Quemas_Agricolas , Rellenos_Sanitarios ,Cruces_front,Embarca_marinas,Equi_basico_aeropouertos,Locomotoras_patio,Locomotoras_arrastre,Maquinara_agricola,Terminales_autobuses,
07,007,07007,0,0.4470804,0,0.360880314,0,0.00391945,54.24409894,0.108197938,0.6016836,0,0.000173047,0,8.472255427,11.13789235,0.551915917,8.878554058,0,0,0,0,0,0,0.046397627,0
07,008,07008,0,1.2662481,0,7.107019788,0,0.055294397,115.1755343,0.089801364,11.1969072,0,0.000352797,6.694478037,20.35505024,16.70683852,0.87272763,24.40171205,0,0,0,0,0,0,0.162748773,0
07,009,07009,0,2.4140103,0,7.765398864,0,0.134346692,79.9201651,0.238676102,8.1056412,0,0.001324246,44.39566184,19.23757321,0,0,26.86553002,0,0,0,0,0,1.676558798,0.055684782,0
07,010,07010,0,0.0268632,0,0.241198403,0,0.003376757,37.2190838,0.000303305,0.1335924,0,6.99918E-05,0,7.106289694,0,0,5.955847464,0,0,0,0,0,0,0.040379206,0
07,011,07011,0,0.1490268,0,3.64596406,0,0.007477105,102.8949408,0.001516525,0.2723628,0,0.000304764,0,18.37731851,0,0.789109306,20.5640673,0,0,0,0,0,0,0.154597264,0
07,012,07012,0,2.8361463,0,2.004206896,0,0.084477671,82.09219054,0.089214689,1.9748892,0,0.001302782,0,6.868260963,0,1.426454169,9.732890514,0,0,0,0,0,0,0.039580627,0
07,013,07013,0,1.19213445,0,3.443442707,0,0.057163673,120.7316258,0.011626437,1.517154,0,0.00068352,0,23.64955205,5.568946173,2.79203775,23.32569322,0,0,0,0,0,0,0.128651263,0
07,014,07014,0,0.5195151,0,2.154845975,0,0.008924287,102.455608,0.002426439,0.9610368,0,0.000459546,0,23.33606191,0,0,20.4406091,0,0,0,0,0,0,0.183682548,0
07,015,07015,0,1.7178057,0,1.669377086,0,0.046008315,150.9025813,0.010767324,0,0,0.001138401,4.281972592,7.733160334,0,1.702803198,3.858002573,0,0,0,0,0,0,0.104481273,0
07,016,07016,0,0.2580786,0,1.892006571,0,0.015496903,78.17588783,0.004597791,12.5431872,0,0.000390221,0,42.20006497,5.568946173,1.658529146,37.47439119,0,0,0,0,0,0,0.193442785,0
07,017,07017,0,4.2269565,0,50.016181,0,0.15340125,223.7984053,0.10768287,4.2521736,0,0.001651459,198.4491783,35.38194629,77.96524642,5.880285234,54.70627953,0,0,0,0,0,0,0.148421878,0
07,018,07018,0,0.2948556,0,0.239579856,0,0.019778149,45.51053648,0.0151886,0.481554,0,0.000184512,0,10.11102,0,0.138499078,10.72461334,0,0,0,0,0,0,0.056787753,0
07,019,07019,0,9.1229346,0,20.18946242,0,0.464726191,341.4860538,0.27565471,6.1607844,0,0.004116502,9.340401032,34.9469963,540.1877788,3.704073745,36.35633666,0,0,0,0,0,0,0.18945458,0
07,020,07020,0,1.16015445,0,34.16476493,0,0.044500834,196.8680922,0.011142955,15.2409252,0,0.000781162,371.9288324,69.9448005,0,1.121967346,134.7417109,0,0,0,0,0,0,0.453953385,0
07,021,07021,0,0.5855538,0,3.150551984,0,0.04088288,81.1935038,0.009426561,1.108092,0,0.000511274,0,9.650038848,0,0.355665068,8.382431739,0,0,0,0,0,0,0.068972023,0
07,022,07022,0,0.10513425,0,1.050075688,0,0.012542241,91.42987449,0.001516525,0.4100976,0,0.000186912,0,18.44280802,0,3.37116568,14.00888557,0,0,0,0,0,0,0.118381362,0
07,023,07023,3.182522633,0.3183609,0,9.092354626,0,0.02990842,472.912353,0.004852878,0.5012304,0,0.001830607,0,25.76971233,0,2.971045575,17.86405084,0,0,0,0,0,0,5.479704936,0
07,024,07024,0,0.6648642,0,0.627908471,0,0.005065136,50.17457531,0.003184701,0.4722336,0,0.000188245,1.313397775,9.110960402,0,7.866611751,6.001008171,0,0,0,0,0,0,0.050322358,0
07,025,07025,0,0.27686685,0,0.019343314,0,0.004582742,33.38394248,0.00121322,3.023952,0,0.000159048,0,3.720657385,0,1.022365267,1.957471404,0,0,0,0,0,0,0.027124795,0
07,026,07026,0,0.29189745,0,3.761411099,0,0.011396555,178.9681168,0.007683473,0.662784,0,0.000461413,0,18.28557864,0,1.395764859,13.89239701,0,0,0,0,0,0,0.142122203,0
07,027,07027,0,4.68227175,0,9.673303615,0,0.155629067,196.3965814,0.260433742,1.2965712,0,0.002912061,16.82815229,26.68658299,33.41367704,2.012553774,74.11966222,0,0,0,1.39,0,0,0.153231331,0
07,028,07028,0,0.35201985,0,0.545595916,0,0.009165483,20.69967979,0.002426439,0.4163112,0,0.000125452,0,6.461275389,0,0.027005926,23.7536138,0,0,0,0,0,0,0.041237193,0
07,029,07029,0,0.29365635,0,0.815132335,0,0.010793563,12.57133574,0.001061567,0.5416188,0,0.000116653,0,2.106132065,0,0.292016043,2.253656584,0,0,0,0,0,0,0.01117823,0
07,030,07030,0,0.8423532,0,5.881297607,0,0.04009899,180.5791313,0.009881518,1.351458,0,0.000359151,14.34531008,23.391354,16.70683852,1.446554974,38.60781572,0,0,0,0,0,0,0.159965941,0
07,031,07031,0,1.2005292,0,28.34106277,0,0.037807619,557.901416,0.008389102,13.5280428,0,0.000812908,0,82.11145034,11.13789235,29.39151753,63.80517247,0,0,0,0,0,0,0.582741445,0
07,032,07032,0,1.10482905,0,2.540683419,0,0.064278983,110.9848455,0.009705757,1.3245324,0,0.000887444,3.192015932,18.7681806,0,1.828350506,14.83442348,0,0,0,0,0,0,0.266918931,0
07,033,07033,0,0.0609219,0,0.280472645,0,0.000723591,36.20725523,0.000454957,4.696446,0,0.000146116,0,4.667674716,0,0.074230878,4.027875143,0,0,0,0,0,0,0.025772464,0
07,034,07034,0,2.08453635,0,22.42249207,0,0.13603507,291.6240784,0.029694602,2.3176728,0,0.00173357,0,54.13683355,0,3.343459751,116.7043976,0,0,0,0,0,0,0.310911128,0
07,035,07035,0,0.3377088,0,2.398831861,0,0.011396555,62.31384247,0.001516525,0.6669264,0,0.000359958,0,22.5299201,0,1.732728777,34.55439713,0,0,0,0,0,0,0.116972749,0
07,036,07036,0,0.08866455,0,0.112647561,0,0.01019057,31.96853503,0.001516525,0.1594824,0,4.79944E-05,0,6.278526956,0,0.486992685,5.148877793,0,0,0,0,0,0,0.041187478,0
07,037,07037,0,1.25513505,0,3.199240346,0,0.048359985,126.1215596,0.013646136,1.0231728,0,0.000963888,3.509668607,14.4290197,0,3.764553188,47.32545517,0,0,0,0,0,0.825539591,0.325690155,0
