CVE ESTADO,CVE MUNICIPIO,Emisiones de   PM2.5,,,,,,,,,,,,,,,,,,,,,,,,
,,Actividades_de_la_construccion,Asados_al_carbon, Banco_de_Materiales ,Caminos_pavimentados_y_sin_pavimentar,Combustion_Agricola,Combustion_Comercial,Combustion_Domestica,Combustion_industrial,Corrales_de_engorda,Emisiones_domesticas_de_amoniaco,Incendios_en_construcciones,Incendios_Forestales,Labranza,Ladrilleras,Quema_de_Residuos,Quemas_Agricolas,Rellenos_Sanitarios,Cruces_front,Embarca_marinas,Equi_basico_aeropouertos,Locomotoras_patio,Locomotoras_arrastre,Maquinara_agricola,Terminales_autobuses,
07,008,07008,0,1.010592609,,0.840758508,0,0.055294397,110.8828754,0.054809851,1.278686802,0,0.000329455,5.680971402,4.512714639,15.25786901,0.799234777,23.45230945,0,0,0,0,0,0,0.157866309,0
07,009,07009,0,1.92662162,,0.918607175,0,0.134346692,76.94538257,0.145674866,0.925664225,0,0.00123663,37.67440626,4.264969981,0,0,25.70058584,0,0,0,0,0,1.506061293,0.054014238,0
07,010,07010,0,0.02143952,,0.028334082,0,0.003376757,35.83162835,0.000185121,0.015256252,0,6.5361E-05,0,1.575464425,0,0,5.732601797,0,0,0,0,0,0,0.039167829,0
07,011,07011,0,0.118938289,,0.431164891,0,0.007477105,99.05928967,0.000925604,0.031103832,0,0.0002846,0,4.074251515,0,0.722657996,19.70426813,0,0,0,0,0,0,0.149959346,0
07,012,07012,0,2.263528362,,0.236903422,0,0.084477671,79.03820891,0.054451777,0.225532347,0,0.001216586,0,1.522693455,0,1.306331713,9.371316873,0,0,0,0,0,0,0.038393208,0
07,013,07013,0,0.951442505,,0.407062234,0,0.057163673,116.2324798,0.007096142,0.173258987,0,0.000638297,0,5.243105689,5.085956336,2.556918782,22.45003932,0,0,0,0,0,0,0.124791725,0
07,014,07014,0,0.414625001,,0.254917693,0,0.008924287,98.63640532,0.001480966,0.109750403,0,0.000429142,0,5.173604927,0,0,19.59307987,0,0,0,0,0,0,0.178172072,0
07,015,07015,0,1.370980729,,0.197486855,0,0.046008315,145.2798804,0.006571787,0,0,0.001063081,3.633705825,1.714441646,0,1.559409245,3.666931613,0,0,0,0,0,0,0.101346834,0
07,016,07016,0,0.205972531,,0.223652922,0,0.015496903,75.26247552,0.00280624,1.432431978,0,0.000364403,0,9.355754404,5.085956336,1.518863534,35.95926841,0,0,0,0,0,0,0.187639501,0
07,017,07017,0,3.373533983,,5.915952698,0,0.15340125,215.4620921,0.065723747,0.485598225,0,0.001542195,168.4050796,7.844177493,71.20338871,5.38510332,52.46447972,0,0,0,0,0,0,0.143969221,0
