CVE ESTADO,CVE MUNICIPIO,Emisiones de   COV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Aguas_Residuales,Aplicacion_de_plaguicidas,Artes_graficas,Asados_al_carbon,Asfaltado,Combustion_Agricola,Combustion_Comercial,Combustion_Domestica,Combustion_industrial,Esterilizaccion_de_material_hospitalario,Incendios_en_construcciones,Incendios_Forestales,Ladrilleras,Lavado_en_Seco,Limpieza_de_superficies_industriales,Manejo_y_distribucion_de_Combustibles,Manejo_y_Distribucion_de_gas_L.P.,Panificacion,Pintado_Automotriz,Pintura_para_se–alizacion_vial,Quema_de_Residuos,Quemas_Agricolas,Recubrimiento_de_superficies_arquitectonicas,Recubrimiento_de_superficies_en_la_Industria,Rellenos_Sanitarios,Uso_domestico_de_solventes,Cruces_front,Embarcaciones_marinas,Equipo_basico_eropouertos,Locomotoras_patio,Locomotoras_arrastre,Maquinara_agricola,Terminales_autobuses,
05,001,05001,0,0.212424633,0,0.00784628,1.412097217,0,0.000844597,1.667385671,0.000173207,0,0.000134008,4.422013273,0,0,0.184381013,0,4.314134742,0,0,1.469194247,0.001187065,9.080356564,0.826938601,0,0.00934967,1.9525,0,0,0,0,1.281191046,0.249846782,0
05,002,05002,301.1406508,0.091069797,18.15695671,1.61159921,4.552305344,0,0.191987386,23.98736997,0.078931843,0.11808,0.021040699,189.4480595,0,0.239848786,1183.203689,56.70395495,926.3809376,4.259705374,24.31618216,4.736374196,0.051547898,6.150012875,169.9037684,153.74272,3.947688674,400.9015,2.155938414,0,0,0,1.123505994,0.118906066,0
05,003,05003,0,0.089354011,3.925828479,0.22711078,2.254800396,0,0.02359592,6.50518097,0.004993076,0.04182,0.002936974,0,0.352971489,0.051859197,19.26781583,8.488146428,129.2083723,0.772593622,6.224942632,2.345971459,0.002623881,2.838590164,23.95311957,1.111690679,3.146897256,56.5089,0,0,0,0,0,0.156822185,0
05,004,05004,0,3.239607752,0,0.09549046,6.80995271,0.041832705,0.014591061,157.1842211,0.03074134,0.00082,0.002255186,81.07292763,0,0.025929599,84.99964688,36.52354045,340.0623955,0.334094539,0,7.08530774,0.18922236,23.51112131,10.06376249,21.06298903,93.88151336,23.7566,0,0,0,0,0,55.86104561,0
05,005,05005,0,0.049666626,0,0.01610336,1.87900033,0,0.002586577,4.164639078,0.000323914,0.00082,0.000181875,10.06795153,0,0,2.55060401,0.701903901,7.096239887,0.083523635,0,1.954976216,0.005263668,2.863570515,1.698034117,0,0,4.0044,0,0,0,0,0,0.602290123,0
05,006,05006,6.954749442,0.091288445,0.98145712,0.27870726,3.006400528,0,0.029124221,22.34315982,0.010353444,0.00328,0.003936252,13.87345655,0,0.162059991,68.00586354,31.67690874,153.9652839,1.753996331,3.112471316,3.127961945,0.032855427,2.662626956,29.38442019,4.480615994,73.12555938,69.3102,0,0,0,0,5.45984492,1.744234426,0
05,007,05007,0,1.629768867,0,0.11644126,3.387894534,0,0.027396605,40.23946254,0.004636088,0.02542,0.001263203,7.358392877,0.176485745,0.025929599,9.003939457,10.62827404,72.2641293,1.169330887,3.112471316,3.524881359,0.052826453,42.61195601,12.27562253,0.593444412,0,28.96445,0,0,0,0,10.63388568,0.658393899,0
05,008,05008,0,0.05684845,0,0.00617227,0.768681953,0,0.000211149,6.942601217,8.66037E-05,0,0.000304322,0,0,0,2.427683335,1.388928257,10.12216915,0,0,0.799762997,0.008119572,3.099589325,0.650310939,0,0.00509982,1.53005,0,0,0,0,2.394841725,0.068722967,0
05,009,05009,0,9.37846475,6.870199837,0.36015863,6.064046519,0.154011769,0.10005299,58.79983152,0.012178232,0.04838,0.003264792,0,0,0.025929599,102.5465733,32.83258293,254.1821302,3.3618263,6.224942632,6.309241424,0.128228859,234.8856737,37.96691887,8.504944608,17.00753364,89.5949,0,0,0,0,0,1.895873813,0
05,010,05010,0,0.066327374,4.907285598,0.83322564,0.973663807,0,0.10451137,12.15761584,0.045606522,0.00246,0.011220938,0,0,0.207436788,540.8202406,46.83027608,478.9400095,7.099508957,7.003060461,1.01303313,0.009279111,3.582367549,87.84416216,59.26327921,0,207.28095,0,0,0,0,1.13336131,0.269757392,0
