CVEMUN , SCC ,VOC,CO,NO,NO2,NH3,PM10,PM25,CN,CO2,SO2,CH4,Categoria
21070,2230071330,13.4634421,32.2111216,10.05117509,3.080198813,0.025301966,2.186925269,1.880865249,,,0.258576452,, Veh>3.8Ton 
21070,2230074330,0.516891609,0.798711305,0.284753441,0.087263151,0.00059734,0.107984617,0.094147242,,,0.012231836,, Tractocamiones 
21070,2230075330,0.32023101,0.54442121,0.188989732,0.057916208,0.000435889,0.050651275,0.042931045,,,0.009130821,, Autobœs 
21071,2201001330,16.82177414,169.0773136,320.7256795,6.54542203,0.161105889,0.849862515,0.466052632,,,0.614798941,, Taxi 
21071,2201020330,103.5766825,892.5441716,565.962299,11.550251,1.089434858,8.782513179,6.145410645,,,3.633124219,, Autom—viles Particulares 
21071,2201020330,10.34421635,47.93048121,37.59911998,0.767328979,0.132922439,0.788834025,0.469836345,,,0.601249209,, Camioneta de Transporte Pœblico 
21071,2201040330,50.99514654,309.3768046,155.0798503,3.164894904,0.396650922,2.849817433,1.933430997,,,1.563551672,, Camionetas particulares 
21071,2201040330,101.7898251,669.1790367,275.9841869,5.632330344,0.686423664,8.14372107,6.270212287,,,2.663130603,, Pickup y Veh<3.8Ton 
21071,2201080330,8.620343437,107.2181814,3.54867652,0.07242197,0.083590847,0.197535589,0.099305862,,,0.030875813,, Motocicletas 
21071,2230071330,270.501784,528.874012,179.0029315,54.855737,0.528139527,44.86078926,38.52512394,,,5.283784123,, Veh>3.8Ton 
