GRIDCODE,CVE_ENTCVE_MUN,Fa
57899,20159,0.003205639
57902,20291,0.155845009
57903,20059,0.000997655
57904,20059,0.012065109
57905,20059,0.001089513
57907,20059,0.00000954
57908,20391,0.10101159
57911,20095,0.026077561
57912,20095,0.249340429
57913,20095,0.089126366
57914,20167,0.003012284
57915,20347,0.007362878
57916,20347,0.105193096
57929,20125,0.028510311
57936,20125,0.001857252
57937,20008,0.00058452
57938,20008,0.014413235
57939,20008,0.113710994
57955,20515,0.0000244
57956,20079,0.000031
57957,20079,0.069656059
57958,20079,0.07096537
58001,7009,0.001941926
58002,7009,0.011485908
58003,7009,0.027296258
58004,7009,0.017623828
58005,7009,0.014220664
58006,7009,0.000014
58007,7097,0.011935805
58008,7097,0.012898001
58009,7097,0.012898001
58010,7097,0.010578433
58011,7097,0.005675087
58012,7097,0.002916491
58898,12023,0.004024925
58899,12023,0.0000285
58900,20485,0.040623766
58901,20485,0.087900189
58902,20485,0.078624636
58903,20485,0.110245564
58904,20507,0.047818726
58905,20507,0.093587536
58906,20482,0.000739108
58907,20482,0.024438916
58908,20482,0.0246648
58909,20482,0.020406213
58910,20482,0.013187898
58911,20482,0.011284078
58912,20482,0.009386821
58913,20482,0.01346472
58914,20482,0.010732184
58915,20482,0.01441369
58916,20482,0.004594901
58917,20482,0.001044326
58918,20414,0.000209491
58919,20414,0.0129464
58920,20414,0.026160004
58921,20090,0.0000344
58922,20090,0.040362818
58923,20090,0.025769707
58924,20367,0.035735392
58925,20467,0.027095581
58926,20467,0.012704302
58927,20489,0.04992645
58928,20489,0.036413023
58929,20489,0.056017257
58930,20489,0.054994364
58931,20489,0.060703186
58932,20489,0.009481439
58933,20543,0.072031177
58934,20543,0.105149984
58935,20543,0.028720837
58936,20543,0.079811994
58937,20543,0.023945149
58957,20159,0.013748583
58958,20159,0.010395034
58962,20059,0.004880884
58963,20059,0.015018319
58964,20059,0.000408147
58967,20059,0.000473736
58968,20533,0.134057743
58969,20533,0.284429381
58970,20533,0.000397258
58972,20059,0.00000021
58973,20154,0.088530903
58974,20154,0.037939037
58975,20347,0.087794519
58976,20126,0.005968048
58979,20209,0.000574681
58987,20428,0.017365577
58988,20428,0.002455762
58989,20410,0.14511377
58995,20125,0.000276031
58996,20008,0.049243048
58997,20008,0.241496486
58998,20008,0.016886196
59014,20515,0.002123632
59015,20515,0.000646755
59016,20079,0.000150531
59017,20079,0.019040004
59019,20079,0.017267375
59020,20079,0.119634268
59021,20248,0.091938746
59022,20248,0.146274917
59023,20248,0.146996362
59024,20248,0.105468119
59025,20248,0.023050788
59057,7009,0.0000109
59058,7009,0.015834456
59059,7009,0.014175341
59060,7009,0.023078709
59061,7009,0.019142303
59062,7009,0.026789347
59063,7009,0.024276323
59064,7009,0.024822989
59065,7009,0.001754672
59066,7097,0.012383791
