GRIDCODE,CVENTMUN,Fb
54686,20414,0.048530655
54687,20414,0.001350967
54688,20467,0.019020761
54689,20467,0.007876993
54690,20467,0.008125664
54691,20467,0.008404011
54692,20334,0.000659192
54693,20334,0.011998629
54694,20334,0.012204038
54695,20334,0.008646898
54696,20334,0.009813692
54697,20334,0.012147714
54698,20334,0.012151692
54699,20334,0.006373642
54700,20334,0.009530977
54701,20334,0.012204038
54702,20272,0.022000976
54703,20272,0.061729202
54704,20272,0.020062652
54705,20364,0.015711542
54706,20364,0.015321349
54707,20364,0.013474261
54708,20364,0.015706689
54709,20364,0.006600247
54710,20433,0.065466793
54711,20433,0.242080393
54712,20202,0.018786755
54713,20202,0.021805327
54714,20202,0.0382299
54715,20202,0.04249443
54716,20159,0.009788871
54717,20159,0.016205389
54718,20159,0.013070373
54719,20159,0.01622343
54720,20159,0.01622343
54721,20159,0.01622343
54722,20159,0.011568882
54723,20344,0.046126789
54724,20291,0.007581375
54725,20291,0.05001453
54726,20291,0.05001453
54727,20263,0.00050649
54728,20263,0.071882459
54729,20263,0.0746632
54730,20263,0.0746632
54731,20263,0.013808555
54732,20254,0.003087406
54733,20254,0.039234979
54734,20254,0.043660494
54735,20254,0.043660494
54736,20254,0.043660494
54737,20254,0.041390949
54738,20254,0.028314886
54739,20254,0.022391851
54740,20424,0.072720058
