GRIDCODE,CVENTMUN,Ft
77953,12052,0.007485421
77954,12052,0.107955328
77955,12052,0.067731502
77969,12062,0.107010064
77970,12062,0.023555041
77971,12071,0.03088652
77972,12071,0.123394727
77973,12071,0.135179747
77974,12071,0.108442207
77977,20447,0.050263104
77978,20447,0.096849
77983,20447,0.080771276
77984,20447,0.089868583
77992,20377,0.023819626
77993,20377,0.068902161
78006,20277,0.022988373
78011,20570,0.020628864
78013,20420,0.127065695
78014,20420,0.031178764
78020,20358,0.425594701
78025,20301,0.372248026
78026,20132,0.050022304
78027,20132,0.593148138
78028,20132,0.032141106
78029,20162,0.185405333
78033,20112,0.311434036
78034,20561,0.943548726
78044,20131,0.04839027
78067,20470,0.056085983
78068,20470,0.100480981
78074,20412,0.11653345
78075,20412,0.112128129
78076,20412,0.003174173
78089,20005,0.020203101
78090,20005,0.006173739
78094,20265,0.070770779
78115,20265,0.063919397
78129,7017,0.004485246
78130,7017,0.010991019
78136,7046,0.005582052
78137,7046,0.039498511
78989,12053,0.134846358
78990,12053,0.033671047
79012,12052,0.010233466
79013,12052,0.109609061
79028,12062,0.006117587
79033,12071,0.0484273
79034,12071,0.111936038
79035,12071,0.023748993
79037,20447,0.084962778
79038,20447,0.159055136
79039,20447,0.019793895
79042,20447,0.157086259
79046,20088,0.01673425
79051,20377,0.106693765
79057,20500,0.002018338
79071,20570,0.002457247
79072,20570,0.079477282
79078,20378,0.203201055
79079,20358,0.574405299
79081,20387,0.370902776
79082,20387,0.366279743
79084,20068,0.054474007
79085,20068,0.2698599
79086,20068,0.021237293
79087,20368,0.234112351
79088,20368,0.214307721
79089,20284,0.135772553
79090,20284,0.287470869
79091,20112,0.052598857
79092,20112,0.028511955
79093,20112,0.004524092
79103,20551,0.34367017
79127,20470,0.102329399
79132,20412,0.093658868
79133,20412,0.105141058
79147,20005,0.017956921
79148,20005,0.017589823
79149,20005,0.040200207
79150,20005,0.031563505
79153,20265,0.092857845
79154,20265,0.009490338
79174,20265,0.065232415
79194,7046,0.021023483
79195,7046,0.062300915
79196,7046,0.014777703
80031,12001,0.07046156
80047,12053,0.066756113
80048,12053,0.064982179
80071,12052,0.019993612
80072,12052,0.100055419
80087,12062,0.095932068
80101,20447,0.004467475
80102,20088,0.148020468
80105,20088,0.138213569
80110,20377,0.092627946
80116,20500,0.190156668
80129,20104,0.368077997
80130,20570,0.081516657
80131,20570,0.082994366
80132,20104,0.171473499
80137,20378,0.388953273
80141,20295,0.344790672
80142,20452,0.396732535
80143,20452,0.360992226
80144,20103,0.367872204
80145,20068,0.158193933
80146,20068,0.140668447
80152,20112,0.067596418
80153,20475,0.136301388
80154,20475,0.164665724
80155,20131,0.038532018
80156,20131,0.095299231
80157,20131,0.308173817
80158,20131,0.169707361
80162,20551,0.076647479
80186,20470,0.239227993
80187,20412,0.037892965
80188,20412,0.130059383
80189,20412,0.102504695
80190,20412,0.111159724
80191,20412,0.015119484
80192,20412,0.011910434
80201,20010,0.069926415
80209,20005,0.058886958
80213,20265,0.049375122
80233,20265,0.052910287
80234,20265,0.010044596
80236,20265,0.054916818
80237,20265,0.055861673
80238,20265,0.003531175
80239,7017,0.081413012
80240,7017,0.067438912
80252,7046,0.004546153
80253,7046,0.051661141
81090,12001,0.022281375
81106,12053,0.133115189
81122,12012,0.007557432
81130,12052,0.155652622
81146,12062,0.112776325
81160,20088,0.09185363
81161,20088,0.066480459
81163,20088,0.039811884
81164,20088,0.180209643
81169,20377,0.116430609
81174,20500,0.064693859
81175,20500,0.278016692
81184,20277,0.10070866
81185,20277,0.07580361
81186,20277,0.033627177
81187,20104,0.06021802
81188,20104,0.03415778
81195,20123,0.29817841
81196,20123,0.225621251
81200,20295,0.123169734
81201,20295,0.002944765
81202,20103,0.004377951
81203,20103,0.379785959
81204,20068,0.002757863
81211,20475,0.190675525
81213,20131,0.003738168
81214,20131,0.003720063
81250,20036,0.182997823
81251,20412,0.001475484
81260,20010,0.050761611
81261,20010,0.213008376
81262,20010,0.19942518
81263,20010,0.009976952
81268,20005,0.012659685
81269,20005,0.067255718
81293,20265,0.058001017
81294,20265,0.022111983
81295,20265,0.006294282
81308,7017,0.039614742
81309,7017,0.009107499
82164,12053,0.099391617
82165,12053,0.024209944
82180,12012,0.077795463
82181,12012,0.031485135
82189,12052,0.172417847
82190,12052,0.041239968
82205,12062,0.12068627
82219,20088,0.094549007
82220,20073,0.025859967
82222,20088,0.159755668
82227,20377,0.000217134
82228,20377,0.005306609
82230,20500,0.000740379
82231,20500,0.202182539
82232,20510,0.523857044
82233,20500,0.032361458
82240,20137,0.116311682
82241,20566,0.275453266
82242,20277,0.003629135
82243,20277,0.006769721
82245,20108,0.060757793
82246,20108,0.088590441
82254,20123,0.039370332
82258,20570,0.011697368
82259,20570,0.011466633
82260,20570,0.003841939
82262,20068,0.000030586
82280,20226,0.073326901
82308,20036,0.173652918
82309,20036,0.051612059
82319,20010,0.172160377
82322,20010,0.00674005
82328,20005,0.112594901
82329,20005,0.020221428
82365,7017,0.037689973
82366,7017,0.042280115
82367,7017,0.009562524
83204,12021,0.038874017
83222,12053,0.065580242
83223,12053,0.169105722
83238,12012,0.083769412
83239,12012,0.067839141
83248,12041,0.04833896
83249,12041,0.00496062
83264,12062,0.059594949
83265,12062,0.058908187
83278,20073,0.103819199
83279,20073,0.017049414
83280,20392,0.16753077
83281,20392,0.161571153
83287,20500,0.055502539
83290,20500,0.044302
83291,20500,0.030063229
83292,20382,0.142097945
83293,20382,0.095536837
83299,20137,0.128819156
83303,20108,0.125353638
83304,20108,0.092982569
83318,20013,0.172557779
83319,20013,0.070549368
83321,20068,0.050675866
83322,20068,0.148380719
83323,20530,0.561677134
