GRIDCODE,CVENTMUN,Furb,Frur,Fpob,Purb_T,Prur_T,P_tot
179470,14049,0,0.00074757,0.0006286,0,6,6
179472,14056,0,0.00659341,0.00476758,0,12,12
179473,14056,0,0.00274725,0.00198649,0,5,5
179479,14049,0,0.00909544,0.00764798,0,73,73
179480,14049,0,0.00224271,0.0018858,0,18,18
179481,14049,0,0.0125841,0.01058146,0,101,101
179483,16068,0,0.00212939,0.00083017,0,21,21
179484,16068,0,0.00121679,0.00047438,0,12,12
179485,16068,0,0.02534983,0.00988299,0,250,250
179486,16068,0,0.00263638,0.00102783,0,26,26
179487,16083,0,0.00088234,0.00067995,0,20,20
179488,16068,0,0.00861894,0.00336022,0,85,85
179489,16068,0,0.01155952,0.00450664,0,114,114
179492,16058,0,0.01107829,0.0023893,0,45,45
179496,16058,0,0.00270803,0.00058405,0,11,11
179497,16058,0,0.00344658,0.00074334,0,14,14
179498,16102,0.018282,0.00154617,0.01714931,5375,33,5408
179499,16102,0.0180201,0.02323947,0.01837335,5298,496,5794
179500,16102,0.00460877,0.00135876,0.0043888,1355,29,1384
179501,16102,0.01756433,0.04629152,0.01950861,5164,988,6152
179502,16102,0,0.00145247,0.0000983,0,31,31
179504,16111,0,0.11732055,0.06109578,0,930,930
179505,16111,0.6104181,0.00857828,0.29700434,4453,68,4521
179506,16090,0,0.30317848,0.02666667,0,372,372
179507,16079,0,0.02297746,0.01057125,0,478,478
179509,16079,0,0.00197087,0.00090674,0,41,41
179510,16079,0,0.02100659,0.00966451,0,437,437
179511,16079,0,0.14228717,0.06546211,0,2960,2960
179515,16066,0,0.00040709,0.00010251,0,9,9
179517,16066,0,0.01180568,0.00297287,0,261,261
179519,16066,0,0.01546951,0.00389548,0,342,342
179520,16066,0,0.00040709,0.00010251,0,9,9
179522,16001,0,0.0216267,0.00837353,0,92,92
179523,16001,0,0.00540668,0.00209338,0,23,23
179524,16001,0,0.25364363,0.09820697,0,1079,1079
179525,16001,0,0.00211566,0.00081915,0,9,9
179526,16001,0,0.05923836,0.0229362,0,252,252
179527,16049,0,0.01050691,0.00654157,0,114,114
179528,16049,0,0.00073733,0.00045906,0,8,8
179529,16049,0,0.02147465,0.01337006,0,233,233
179530,16049,0,0.00110599,0.00068859,0,12,12
179531,16049,0,0.00221198,0.00137717,0,24,24
179532,16049,0,0.00202765,0.00126241,0,22,22
179533,16049,0,0.0078341,0.00487749,0,85,85
179536,16101,0,0.00234742,0.00207288,0,19,19
179537,16101,0,0.00271806,0.00240018,0,22,22
179538,16101,0,0.00086484,0.00076369,0,7,7
179539,16101,0,0.01643193,0.01451015,0,133,133
179540,16101,0,0.00111194,0.00098189,0,9,9
179541,16101,0,0.00061774,0.00054549,0,5,5
179542,16101,0,0.01309612,0.01156448,0,106,106
179543,16101,0,0.00234742,0.00207288,0,19,19
179544,16034,0,0.00021887,0.0000765,0,9,9
179545,16034,0,0.00150775,0.00052712,0,62,62
179546,16034,0,0.00077819,0.00027206,0,32,32
179547,16034,0,0.00141047,0.00049311,0,58,58
179548,16034,0,0.00172661,0.00060364,0,71,71
179549,16034,0,0.00221298,0.00077368,0,91,91
179550,16034,0,0.00245617,0.0008587,0,101,101
179551,16047,0,0.02112251,0.01576103,0,315,315
179552,16047,0,0.01810501,0.01350946,0,270,270
179553,16047,0,0.00067056,0.00050035,0,10,10
179554,16047,0.01754386,0.04834708,0.04052837,89,721,810
179555,16047,0,0.07114598,0.05308716,0,1061,1061
179556,16047,0,0.01260645,0.00940659,0,188,188
179557,16112,0.00553469,0.01616575,0.00997853,501,1051,1552
179558,16112,0.34613345,0.00541422,0.20371109,31332,352,31684
179559,16112,0.45278392,0,0.26351795,40986,0,40986
179560,16112,0.02955148,0.06706248,0.04523127,2675,4360,7035
179561,16112,0.00156871,0.02457932,0.01118727,142,1598,1740
179562,16112,0,0.00729074,0.00304757,0,474,474
