GRIDCODE,LONG,LATITUDE,Huso,POB,X ,Y ,UTM_Zones
397794,-102.9922728,24.9700982,6,0,2400321.774,1436649.062,13
397795,-102.9624094,24.97028371,6,0,2403321.774,1436649.062,13
397796,-102.9325459,24.97046355,6,0,2406321.774,1436649.062,13
397797,-102.9026824,24.97063772,6,0,2409321.774,1436649.062,13
397798,-102.8728188,24.97080622,6,0,2412321.774,1436649.062,13
397799,-102.8429551,24.97096905,6,0,2415321.774,1436649.062,13
397800,-102.8130914,24.97112622,6,0,2418321.774,1436649.062,13
397801,-102.7832275,24.97127772,6,0,2421321.774,1436649.062,13
397802,-102.7533636,24.97142355,6,0,2424321.774,1436649.062,13
397803,-102.7234997,24.97156371,6,0,2427321.774,1436649.062,13
397804,-102.6936356,24.9716982,6,0,2430321.774,1436649.062,13
397805,-102.6637716,24.97182703,6,0,2433321.774,1436649.062,13
397806,-102.6339074,24.97195018,6,0,2436321.774,1436649.062,13
397807,-102.6040432,24.97206767,6,0,2439321.774,1436649.062,13
397808,-102.574179,24.97217949,6,0,2442321.774,1436649.062,13
397809,-102.5443147,24.97228564,6,0,2445321.774,1436649.062,13
397810,-102.5144503,24.97238612,6,0,2448321.774,1436649.062,13
397811,-102.4845859,24.97248094,6,0,2451321.774,1436649.062,13
397812,-102.4547215,24.97257008,6,0,2454321.774,1436649.062,13
397813,-102.424857,24.97265356,6,0,2457321.774,1436649.062,13
397814,-102.3949925,24.97273137,6,0,2460321.774,1436649.062,13
397815,-102.365128,24.9728035,6,0,2463321.774,1436649.062,13
397816,-102.3352634,24.97286998,6,0,2466321.774,1436649.062,13
397817,-102.3053988,24.97293078,6,0,2469321.774,1436649.062,13
397818,-102.2755341,24.97298591,6,0,2472321.774,1436649.062,13
397819,-102.2456695,24.97303538,6,0,2475321.774,1436649.062,13
397820,-102.2158048,24.97307917,6,457,2478321.774,1436649.062,13
397821,-102.1859401,24.9731173,6,0,2481321.774,1436649.062,13
397822,-102.1560754,24.97314976,6,0,2484321.774,1436649.062,13
397823,-102.1262107,24.97317655,6,0,2487321.774,1436649.062,13
397824,-102.0963459,24.97319767,6,0,2490321.774,1436649.062,13
397825,-102.0664812,24.97321312,6,0,2493321.774,1436649.062,13
397826,-102.0366164,24.97322291,6,0,2496321.774,1436649.062,13
397827,-102.0067517,24.97322702,6,0,2499321.774,1436649.062,13
397828,-101.9768869,24.97322547,6,0,2502321.774,1436649.062,14
397829,-101.9470222,24.97321825,6,0,2505321.774,1436649.062,14
397830,-101.9171574,24.97320536,6,0,2508321.774,1436649.062,14
397831,-101.8872927,24.9731868,6,0,2511321.774,1436649.062,14
397832,-101.857428,24.97316257,6,0,2514321.774,1436649.062,14
397833,-101.8275632,24.97313268,6,0,2517321.774,1436649.062,14
397834,-101.7976985,24.97309711,6,0,2520321.774,1436649.062,14
397835,-101.7678339,24.97305588,6,0,2523321.774,1436649.062,14
397836,-101.7379692,24.97300898,6,0,2526321.774,1436649.062,14
397837,-101.7081045,24.97295641,6,0,2529321.774,1436649.062,14
397838,-101.6782399,24.97289817,6,0,2532321.774,1436649.062,14
397839,-101.6483753,24.97283426,6,0,2535321.774,1436649.062,14
397840,-101.6185108,24.97276469,6,0,2538321.774,1436649.062,14
397841,-101.5886462,24.97268944,6,0,2541321.774,1436649.062,14
397842,-101.5587818,24.97260853,6,0,2544321.774,1436649.062,14
397843,-101.5289173,24.97252195,6,0,2547321.774,1436649.062,14
397844,-101.4990529,24.9724297,6,0,2550321.774,1436649.062,14
397845,-101.4691885,24.97233178,6,0,2553321.774,1436649.062,14
397846,-101.4393242,24.97222819,6,0,2556321.774,1436649.062,14
397847,-101.4094599,24.97211893,6,0,2559321.774,1436649.062,14
397848,-101.3795957,24.97200401,6,0,2562321.774,1436649.062,14
397849,-101.3497315,24.97188342,6,0,2565321.774,1436649.062,14
397850,-101.3198674,24.97175715,6,0,2568321.774,1436649.062,14
397851,-101.2900034,24.97162522,6,0,2571321.774,1436649.062,14
397852,-101.2601394,24.97148763,6,0,2574321.774,1436649.062,14
397853,-101.2302755,24.97134436,6,0,2577321.774,1436649.062,14
397854,-101.2004116,24.97119542,6,0,2580321.774,1436649.062,14
397855,-101.1705478,24.97104082,6,0,2583321.774,1436649.062,14
397856,-101.1406841,24.97088055,6,34,2586321.774,1436649.062,14
397857,-101.1108204,24.97071461,6,0,2589321.774,1436649.062,14
397858,-101.0809569,24.970543,6,0,2592321.774,1436649.062,14
397859,-101.0510934,24.97036572,6,0,2595321.774,1436649.062,14
397860,-101.02123,24.97018278,6,151,2598321.774,1436649.062,14
397861,-100.9913667,24.96999416,6,0,2601321.774,1436649.062,14
397862,-100.9615034,24.96979988,6,0,2604321.774,1436649.062,14
397863,-100.9316403,24.96959993,6,1,2607321.774,1436649.062,14
397864,-100.9017772,24.96939431,6,3,2610321.774,1436649.062,14
397865,-100.8719143,24.96918303,6,0,2613321.774,1436649.062,14
397866,-100.8420514,24.96896607,6,182,2616321.774,1436649.062,14
397867,-100.8121887,24.96874345,6,0,2619321.774,1436649.062,14
397868,-100.782326,24.96851516,6,0,2622321.774,1436649.062,14
397869,-100.7524635,24.9682812,6,0,2625321.774,1436649.062,14
397870,-100.722601,24.96804157,6,438,2628321.774,1436649.062,14
397871,-100.6927387,24.96779628,6,0,2631321.774,1436649.062,14
397872,-100.6628765,24.96754532,6,0,2634321.774,1436649.062,14
397873,-100.6330144,24.96728869,6,0,2637321.774,1436649.062,14
397874,-100.6031524,24.96702639,6,4,2640321.774,1436649.062,14
397875,-100.5732905,24.96675842,6,283,2643321.774,1436649.062,14
397876,-100.5434288,24.96648479,6,4,2646321.774,1436649.062,14
397877,-100.5135672,24.96620548,6,571,2649321.774,1436649.062,14
397878,-100.4837057,24.96592051,6,4,2652321.774,1436649.062,14
397879,-100.4538443,24.96562988,6,555,2655321.774,1436649.062,14
397880,-100.4239831,24.96533357,6,29,2658321.774,1436649.062,14
397881,-100.394122,24.9650316,6,0,2661321.774,1436649.062,14
397882,-100.3642611,24.96472396,6,0,2664321.774,1436649.062,14
397883,-100.3344003,24.96441065,6,0,2667321.774,1436649.062,14
397884,-100.3045397,24.96409167,6,22,2670321.774,1436649.062,14
397885,-100.2746791,24.96376703,6,7,2673321.774,1436649.062,14
397886,-100.2448188,24.96343672,6,224,2676321.774,1436649.062,14
397887,-100.2149586,24.96310074,6,0,2679321.774,1436649.062,14
397888,-100.1850985,24.96275909,6,0,2682321.774,1436649.062,14
397889,-100.1552386,24.96241178,6,0,2685321.774,1436649.062,14
397890,-100.1253789,24.9620588,6,0,2688321.774,1436649.062,14
397891,-100.0955193,24.96170015,6,0,2691321.774,1436649.062,14
397892,-100.0656599,24.96133584,6,0,2694321.774,1436649.062,14
397893,-100.0358007,24.96096585,6,0,2697321.774,1436649.062,14
397894,-100.0059416,24.9605902,6,0,2700321.774,1436649.062,14
397895,-99.97608272,24.96020889,6,0,2703321.774,1436649.062,14
397896,-99.946224,24.9598219,6,0,2706321.774,1436649.062,14
397897,-99.91636546,24.95942925,6,0,2709321.774,1436649.062,14
397898,-99.8865071,24.95903093,6,0,2712321.774,1436649.062,14
397899,-99.85664892,24.95862695,6,0,2715321.774,1436649.062,14
397900,-99.82679093,24.9582173,6,112,2718321.774,1436649.062,14
397901,-99.79693312,24.95780198,6,469,2721321.774,1436649.062,14
397902,-99.76707551,24.957381,6,363,2724321.774,1436649.062,14
397903,-99.73721809,24.95695434,6,53,2727321.774,1436649.062,14
397904,-99.70736087,24.95652203,6,35,2730321.774,1436649.062,14
397905,-99.67750384,24.95608404,6,1,2733321.774,1436649.062,14
397906,-99.64764702,24.95564039,6,1,2736321.774,1436649.062,14
397907,-99.6177904,24.95519107,6,0,2739321.774,1436649.062,14
397908,-99.58793399,24.95473609,6,0,2742321.774,1436649.062,14
397909,-99.55807779,24.95427543,6,0,2745321.774,1436649.062,14
397910,-99.5282218,24.95380912,6,12,2748321.774,1436649.062,14
397911,-99.49836602,24.95333713,6,0,2751321.774,1436649.062,14
397912,-99.46851046,24.95285948,6,0,2754321.774,1436649.062,14
397913,-99.43865512,24.95237617,6,8,2757321.774,1436649.062,14
397914,-99.4088,24.95188718,6,3,2760321.774,1436649.062,14
397915,-99.3789451,24.95139254,6,101,2763321.774,1436649.062,14
397916,-99.34909044,24.95089222,6,48,2766321.774,1436649.062,14
397917,-99.319236,24.95038624,6,61,2769321.774,1436649.062,14
397918,-99.28938179,24.9498746,6,9,2772321.774,1436649.062,14
397919,-99.25952782,24.94935728,6,10,2775321.774,1436649.062,14
397920,-99.22967409,24.94883431,6,53,2778321.774,1436649.062,14
397921,-99.1998206,24.94830566,6,0,2781321.774,1436649.062,14
397922,-99.16996735,24.94777135,6,0,2784321.774,1436649.062,14
397923,-99.14011434,24.94723138,6,0,2787321.774,1436649.062,14
397924,-99.11026159,24.94668574,6,2,2790321.774,1436649.062,14
397925,-99.08040908,24.94613443,6,0,2793321.774,1436649.062,14
397926,-99.05055683,24.94557746,6,0,2796321.774,1436649.062,14
397927,-99.02070483,24.94501483,6,0,2799321.774,1436649.062,14
397928,-98.99085309,24.94444652,6,0,2802321.774,1436649.062,14
397929,-98.96100161,24.94387256,6,0,2805321.774,1436649.062,14
397930,-98.9311504,24.94329293,6,0,2808321.774,1436649.062,14
397931,-98.90129945,24.94270763,6,1,2811321.774,1436649.062,14
397932,-98.87144876,24.94211667,6,0,2814321.774,1436649.062,14
397933,-98.84159835,24.94152004,6,0,2817321.774,1436649.062,14
397934,-98.81174822,24.94091775,6,1220,2820321.774,1436649.062,14
397935,-98.78189836,24.94030979,6,429,2823321.774,1436649.062,14
397936,-98.75204878,24.93969617,6,0,2826321.774,1436649.062,14
397937,-98.72219948,24.93907689,6,147,2829321.774,1436649.062,14
397938,-98.69235046,24.93845194,6,14,2832321.774,1436649.062,14
397939,-98.66250173,24.93782132,6,0,2835321.774,1436649.062,14
397940,-98.63265329,24.93718504,6,0,2838321.774,1436649.062,14
397941,-98.60280514,24.9365431,6,21,2841321.774,1436649.062,14
397942,-98.57295729,24.93589549,6,0,2844321.774,1436649.062,14
397943,-98.54310973,24.93524222,6,27,2847321.774,1436649.062,14
397944,-98.51326248,24.93458329,6,0,2850321.774,1436649.062,14
397945,-98.48341552,24.93391869,6,13,2853321.774,1436649.062,14
397946,-98.45356887,24.93324842,6,0,2856321.774,1436649.062,14
397947,-98.42372253,24.9325725,6,0,2859321.774,1436649.062,14
397948,-98.39387649,24.93189091,6,0,2862321.774,1436649.062,14
397949,-98.36403077,24.93120365,6,0,2865321.774,1436649.062,14
397950,-98.33418537,24.93051073,6,0,2868321.774,1436649.062,14
397951,-98.30434028,24.92981215,6,0,2871321.774,1436649.062,14
397952,-98.27449551,24.92910791,6,0,2874321.774,1436649.062,14
397953,-98.24465106,24.928398,6,0,2877321.774,1436649.062,14
397954,-98.21480694,24.92768243,6,0,2880321.774,1436649.062,14
397955,-98.18496315,24.92696119,6,0,2883321.774,1436649.062,14
397956,-98.15511969,24.9262343,6,0,2886321.774,1436649.062,14
397957,-98.12527656,24.92550173,6,0,2889321.774,1436649.062,14
397958,-98.09543377,24.92476351,6,4,2892321.774,1436649.062,14
397959,-98.06559131,24.92401962,6,0,2895321.774,1436649.062,14
397960,-98.0357492,24.92327008,6,5,2898321.774,1436649.062,14
397961,-98.00590742,24.92251486,6,1,2901321.774,1436649.062,14
397962,-97.976066,24.92175399,6,0,2904321.774,1436649.062,14
397963,-97.94622492,24.92098745,6,0,2907321.774,1436649.062,14
397964,-97.9163842,24.92021525,6,0,2910321.774,1436649.062,14
397965,-97.88654382,24.91943739,6,0,2913321.774,1436649.062,14
397966,-97.85670381,24.91865387,6,0,2916321.774,1436649.062,14
397967,-97.82686415,24.91786468,6,44,2919321.774,1436649.062,14
397968,-97.79702486,24.91706984,6,4,2922321.774,1436649.062,14
397969,-97.76718592,24.91626933,6,0,2925321.774,1436649.062,14
