GRIDCODE,CVENTMUN,Furb,Frural,FpoT,PobUrb,PobR,PubU+R,PoT
12437,frac,,,,,,,
295270,32055,0.022904678,0.000713929,0.013055327,402,10,412,31558
295272,32055,,0.003569644,0.003569644,,50,50,14007
295289,01004,0.631473399,0.006687786,0.318235294,5353,57,5410,17000
295290,01004,,0.308107474,0.308107474,,2626,2626,8523
295291,01004,,0.001055966,0.001055966,,9,9,8523
295291,01007,0.038508529,0.002431283,0.029196953,1639,36,1675,57369
295292,01007,,0.096575944,0.096575944,,1430,1430,14807
295292,32025,,0.022415739,0.022415739,,139,139,6201
295297,32024,,0.098290948,0.098290948,,2404,2404,24458
295297,32035,,0.00129684,0.00129684,,19,19,14651
295301,32035,,0.052965668,0.052965668,,776,776,14651
295305,32035,,0.004982595,0.004982595,,73,73,14651
295305,32054,,0.058718739,0.058718739,,857,857,14595
295306,32054,,0.090236382,0.090236382,,1317,1317,14595
295307,32035,,0.016654153,0.016654153,,244,244,14651
295307,32054,,0.173004454,0.173004454,,2525,2525,14595
295308,32054,,0.001438849,0.001438849,,21,21,14595
295309,32054,0.977324263,0.002055498,0.245346087,4741,30,4771,19446
295310,32054,,0.05364851,0.05364851,,783,783,14595
295312,32038,,0.004945098,0.004945098,,313,313,63295
295313,32038,,0.000110593,0.000110593,,7,7,63295
295314,32038,,0.001485109,0.001485109,,94,94,63295
295315,32038,,0.000868947,0.000868947,,55,55,63295
295316,32038,,0.002749032,0.002749032,,174,174,63295
295317,32038,,0.015925429,0.015925429,,1008,1008,63295
295318,32038,,0.009226637,0.009226637,,584,584,63295
295319,24001,,0.000364299,0.000364299,,5,5,13725
295321,24001,,0.018797814,0.018797814,,258,258,13725
295322,24001,,0.001165756,0.001165756,,16,16,13725
295324,24001,,0.012604736,0.012604736,,173,173,13725
295325,24001,,0.002331512,0.002331512,,32,32,13725
295327,24021,,0.011731802,0.011731802,,625,625,53274
295328,24021,,0.025115441,0.025115441,,1338,1338,53274
295329,24021,,0.033262004,0.033262004,,1772,1772,53274
295330,24021,,0.024233209,0.024233209,,1291,1291,53274
295331,24021,,0.027142696,0.027142696,,1446,1446,53274
295332,24021,,0.010079964,0.010079964,,537,537,53274
295333,24021,,0.00531216,0.00531216,,283,283,53274
295334,24021,,1.87709E-05,1.87709E-05,,1,1,53274
295338,24035,,0.00040853,0.00040853,,5,5,12239
295339,24035,,0.045265136,0.045265136,,554,554,12239
295340,24035,,0.017730207,0.017730207,,217,217,12239
295341,24035,,0.000163412,0.000163412,,2,2,12239
295342,24051,,0.000161668,0.000161668,,2,2,12371
295344,24051,,8.08342E-05,8.08342E-05,,1,1,12371
295348,24004,,0.229357798,0.229357798,,850,850,3706
295350,24004,,0.115218564,0.115218564,,427,427,3706
295351,24008,,0.00892997,0.00892997,,57,57,6383
295353,24008,,0.003446655,0.003446655,,22,22,6383
295358,24052,0.006307339,,0.006307339,22,,22,3488
295361,24052,,0.201877934,0.201877934,,1376,1376,6816
295363,24052,,0.012910798,0.012910798,,88,88,6816
295382,24010,,0.036140267,0.036140267,,606,606,16768
295383,24010,,0.003160782,0.003160782,,53,53,16768
295387,24010,,0.000298187,0.000298187,,5,5,16768
295390,24058,,0.000303092,0.000303092,,3,3,9898
295393,24058,,0.000202061,0.000202061,,2,2,9898
295394,24058,,0.000606183,0.000606183,,6,6,9898
295399,24013,,0.001006678,0.001006678,,41,41,40728
295401,24013,,0.004566883,0.004566883,,186,186,40728
295406,24040,,0.000118001,0.000118001,,2,2,16949
295407,24040,,0.000354003,0.000354003,,6,6,16949
295408,24040,,0.035105316,0.035105316,,595,595,16949
295409,24040,,0.000236002,0.000236002,,4,4,16949
295410,24040,,0.000118001,0.000118001,,2,2,16949
295419,30123,,0.000108035,0.000108035,,4,4,37025
295420,30123,,2.70088E-05,2.70088E-05,,1,1,37025
295421,30123,,0.000189061,0.000189061,,7,7,37025
295422,30123,,0.000162053,0.000162053,,6,6,37025
295423,30123,,0.000135044,0.000135044,,5,5,37025
295424,30123,,0.007373396,0.007373396,,273,273,37025
295425,30123,,0.003619176,0.003619176,,134,134,37025
295427,30123,,0.004537475,0.004537475,,168,168,37025
295428,30123,,0.00818366,0.00818366,,303,303,37025
295429,30123,,0.000540176,0.000540176,,20,20,37025
295430,30123,,0.000270088,0.000270088,,10,10,37025
295431,30123,,0.007427414,0.007427414,,275,275,37025
295433,30123,,0.005158677,0.005158677,,191,191,37025
295434,30123,,5.40176E-05,5.40176E-05,,2,2,37025
295436,30123,,0.005482782,0.005482782,,203,203,37025
295438,28038,,0.052910053,0.052910053,,10,10,189
295439,28038,0.032716487,,0.032716487,9729,,9729,297373
295440,28038,0.198551987,,0.198551987,59044,,59044,297373
295441,28038,0.109007879,,0.109007879,32416,,32416,297373
295441,28009,0.146848732,,0.146848732,30241,,30241,205933
295442,28009,0.067886157,,0.067886157,13980,,13980,205933
295443,28009,0.000864359,,0.000864359,178,,178,205933
296294,14061,,0.001337173,0.001337173,,26,26,19444
296297,14061,,0.002365768,0.002365768,,46,46,19444
296301,14042,,0.188145598,0.188145598,,765,765,4066
296306,14061,,5.14297E-05,5.14297E-05,,1,1,19444
296308,14061,0.688139447,0.000308578,0.082506906,1816,6,1822,22083
296310,14061,,0.000154289,0.000154289,,3,3,19444
296315,32031,,0.032461677,0.032461677,,144,144,4436
296319,32031,,0.026149684,0.026149684,,116,116,4436
296325,14041,,0.079703429,0.079703429,,172,172,2158
296326,14041,0.08559277,,0.08559277,322,,322,3762
296327,14041,,0.021316033,0.021316033,,46,46,2158
296327,32046,,0.002603645,0.002603645,,13,13,4993
