GRIDCODE,CVENTMUN,Promedio de LONG_CARRETERA TOTAL x MUNICIPIO x NO. DE CARRILES (m),Suma de CARRxCELLxCarril,
294239,32054,146101.74,798.22,
294240,32054,146101.74,13945.70,
294241,32054,146101.74,6975.84,
294242,32038,751264.37,3464.33,
294242,32054,146101.74,9147.46,
294243,32038,751264.37,977.61,
294244,32038,751264.37,3378.14,
294245,32038,751264.37,3866.22,
294256,24001,252630.33,5922.51,
294256,24021,715998.78,1361.12,
294257,24001,252630.33,15894.83,
294258,24001,252630.33,12513.79,
294258,24021,715998.78,4393.20,
294259,24021,715998.78,24817.29,
294260,24021,715998.78,10770.69,
294261,24021,715998.78,6130.81,
294262,24021,715998.78,7984.37,
294263,24021,715998.78,1329.56,
294264,24021,715998.78,7752.50,
294265,24021,715998.78,14450.23,
294266,24021,715998.78,1957.26,
294266,24028,774752.29,1195.06,
294267,24028,774752.29,11053.46,
294268,24028,774752.29,1192.44,
294271,24004,242031.65,196.06,
294271,24035,344218.19,1184.59,
294272,24004,242031.65,20619.88,
294272,24035,344218.19,7862.30,
294273,24004,242031.65,280.39,
294275,24004,242031.65,9959.23,
294277,24004,242031.65,1918.24,
294278,24004,242031.65,9727.19,
294279,24004,242031.65,4210.28,
294290,24052,200271.63,9164.25,
294291,24052,200271.63,6377.38,
294292,24052,200271.63,591.27,
294294,24052,200271.63,3714.41,
294295,24052,200271.63,4356.02,
294304,24010,505445.00,6026.36,
294312,24010,505445.00,2328.18,
294313,24010,505445.00,5406.63,
294325,24058,237637.25,6323.82,
294329,24013,763392.41,6946.32,
294333,24013,763392.41,6749.14,
294345,24016,129467.79,4242.84,
294345,24040,450054.54,5854.89,
294346,24016,129467.79,6002.23,
294347,24016,129467.79,6003.66,
294348,24016,129467.79,4274.59,
294355,30123,400534.54,6180.84,
294360,30123,400534.54,6334.23,
294363,30123,400534.54,571.03,
294364,30123,400534.54,3200.97,
294365,30123,400534.54,3161.73,
294366,30123,400534.54,1706.35,
294371,28038,75535.80,2089.52,
294372,28038,75535.80,5388.86,
295233,14042,161170.50,9260.62,
295239,14061,156205.91,1864.44,
295240,14061,156205.91,5089.86,
295241,14061,156205.91,4304.00,
295242,14061,156205.91,6132.03,
295243,14061,156205.91,7373.17,
295244,14061,156205.91,6262.14,
295244,32031,287692.31,1641.96,
295245,32031,287692.31,2308.01,
295246,32031,287692.31,5021.92,
295247,32031,287692.31,1375.43,
295250,32031,287692.31,7943.38,
295253,14041,94281.15,5564.37,
295254,14041,94281.15,428.94,
295255,14041,94281.15,2920.42,
295257,14041,94281.15,6474.05,
295258,14041,94281.15,5919.59,
295260,32046,133918.00,6733.20,
295263,32055,531407.57,106.59,
295264,32055,531407.57,5947.80,
295265,32055,531407.57,5187.95,
295266,32055,531407.57,11348.12,
295267,32055,531407.57,1963.59,
295268,32055,531407.57,10764.09,
295269,32055,531407.57,3577.75,
295289,01004,132812.19,9736.15,
295290,01004,132812.19,11762.84,
295291,01004,132812.19,6573.50,
295291,01007,261181.98,10816.31,
295292,01007,261181.98,7988.50,
295292,32025,102870.20,498.15,
295296,32024,235755.15,7884.06,
295296,32035,190595.24,1238.24,
295297,32024,235755.15,5080.59,
295297,32035,190595.24,2584.49,
295298,32024,235755.15,3396.81,
295298,32035,190595.24,3205.60,
295301,32024,235755.15,1702.97,
295301,32035,190595.24,10576.73,
295302,32035,190595.24,7553.37,
295303,32035,190595.24,1166.48,
295305,32035,190595.24,1496.01,
295305,32054,146101.74,2395.37,
295306,32035,190595.24,3891.70,
295306,32054,146101.74,3244.02,
295307,32035,190595.24,3915.41,
295307,32054,146101.74,7933.60,
295308,32054,146101.74,9248.22,
295309,32054,146101.74,4111.25,
295310,32054,146101.74,2597.67,
295311,32054,146101.74,5865.98,
295312,32038,751264.37,4697.93,
295313,32038,751264.37,2073.67,
295323,24001,252630.33,5802.29,
295324,24001,252630.33,15821.61,
295325,24001,252630.33,4242.65,
295327,24021,715998.78,2092.22,
295328,24021,715998.78,16416.39,
295329,24021,715998.78,7847.91,
295330,24021,715998.78,12796.56,
295331,24021,715998.78,13767.06,
295333,24021,715998.78,429.03,
295335,24028,774752.29,6434.15,
295336,24028,774752.29,7179.59,
