GRIDCODE,CVENTMUN,Promedio de LONG_VIALIDAD TOTAL x MUNICIPIO x NO. DE CARRILES (m),Suma de VIALIDADxCELLxCarril
290044,24010,364408.1228,532.3715234
290045,24010,364408.1228,2476.69839
290045,24036,480550.6064,1575.442897
290046,24010,364408.1228,136.4817206
290046,24036,480550.6064,2173.626616
290047,24036,480550.6064,731.0341697
290051,24036,480550.6064,242.9879963
290051,24058,263966.3166,4825.82
290052,24013,1002429.203,4802.916393
290052,24058,263966.3166,1327.572297
290053,24013,1002429.203,7892.653142
290054,24013,1002429.203,3663.845975
290055,24013,1002429.203,5563.610554
290057,24013,1002429.203,8271.174243
290058,24013,1002429.203,5974.91498
290059,24013,1002429.203,884.5511566
290060,24013,1002429.203,1754.16867
290062,24013,1002429.203,411.0499407
290063,24013,1002429.203,434.6433508
290067,24040,827245.4608,2394.717649
290068,24040,827245.4608,3029.374654
290070,24040,827245.4608,5553.54191
290071,24040,827245.4608,3027.860835
290072,24040,827245.4608,5000.75004
290073,24040,827245.4608,4253.748925
290074,24040,827245.4608,2207.721523
290075,24040,827245.4608,5428.724366
290076,24016,413928.9293,293.8864362
290076,24040,827245.4608,2849.376073
290077,24016,413928.9293,1898.45552
290077,24040,827245.4608,1844.705802
290078,24016,413928.9293,4795.51986
290078,24040,827245.4608,5484.936043
290079,24016,413928.9293,12714.42406
290080,24016,413928.9293,6041.158501
290081,24016,413928.9293,3792.615945
290082,24016,413928.9293,8747.440968
290083,24016,413928.9293,4173.254316
290084,24016,413928.9293,1505.874081
290084,30123,1953715.203,2360.673319
290085,30123,1953715.203,3320.903277
290086,30123,1953715.203,1151.976476
290087,30123,1953715.203,5687.896328
290088,30123,1953715.203,1491.112345
290089,30123,1953715.203,8036.913079
290090,30123,1953715.203,4509.521047
290091,30123,1953715.203,1672.672166
290092,30123,1953715.203,1699.182036
290093,30123,1953715.203,3762.7339
290095,30123,1953715.203,5594.045846
290096,30123,1953715.203,1920.461869
290096,30133,178176.4985,5075.310354
290097,30133,178176.4985,2248.009813
290098,30133,178176.4985,1588.414316
290102,30133,178176.4985,9605.727472
290102,30152,470312.705,26.73555654
290103,30133,178176.4985,7129.807354
290103,30152,470312.705,2956.258157
290953,14061,1691171.711,1634.384259
290954,14061,1691171.711,2902.210449
290955,14061,1691171.711,320.0321698
290956,14061,1691171.711,12249.78735
290957,14061,1691171.711,9433.185158
290958,14061,1691171.711,6164.373653
290959,14061,1691171.711,3401.626791
290961,14061,1691171.711,6988.031295
290962,14061,1691171.711,4922.432434
290964,14061,1691171.711,2824.427797
290964,32049,1696240.391,5471.822552
290965,14061,1691171.711,5788.78546
290966,14061,1691171.711,6171.235679
290967,14061,1691171.711,4672.922053
290970,14061,1691171.711,3649.768505
290971,14061,1691171.711,5638.392578
290971,32031,759025.4936,510.0869574
290972,14061,1691171.711,196.1806229
290972,32031,759025.4936,2418.612209
290974,32031,759025.4936,564.1357698
290975,32031,759025.4936,7565.165817
290976,32031,759025.4936,3221.904729
290977,32031,759025.4936,5742.504648
290978,32031,759025.4936,1023.66393
290979,32031,759025.4936,7243.594613
290981,14025,299107.5214,3356.22847
290981,32031,759025.4936,6105.426281
290982,14025,299107.5214,27.98951775
290982,32031,759025.4936,889.5821556
290983,14025,299107.5214,3076.327503
290983,14081,118440.6546,815.0830548
290985,14081,118440.6546,6413.724295
290986,14081,118440.6546,9157.579925
290988,14041,166345.7868,2119.337146
290989,14041,166345.7868,3176.539584
290990,14041,166345.7868,4758.720217
290990,14081,118440.6546,2068.681203
290990,32046,338858.3492,160.4479659
290993,32055,622792.4064,2658.184938
290994,32055,622792.4064,1319.629878
290995,32055,622792.4064,1302.644832
290996,32055,622792.4064,4968.007336
291002,32055,622792.4064,1347.467558
291011,01008,272609.4976,3638.049907
291012,01008,272609.4976,869.2567347
291013,01007,254020.3737,5552.882655
291014,01007,254020.3737,3852.272546
291015,01007,254020.3737,5491.323138
291016,01007,254020.3737,13768.89343
291017,01007,254020.3737,11443.21915
291018,01007,254020.3737,9758.016309
291019,01007,254020.3737,117.4022216
291019,01009,118726.6256,12619.97186
291020,01009,118726.6256,7182.761484
291021,01009,118726.6256,2023.232187
291022,01009,118726.6256,561.4688431
291024,01002,253473.2035,8416.833051
